UAI;nom_etablissement;type;nature;type_contrat_brut;statut_contrat;adresse;code_postal;ville;code_dept;departement;region;telephone;email;site_web;siret;OPCO_probable;contact_decisionnaire;fonction_contact;profil_pedagogique_notes;etat
0681258Y;Ecole primaire privée Jean XXIII;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;190 avenue Aristide Briand;68093;Mulhouse;068;Haut-Rhin;Grand Est;0389426424;secretariat.ecole@ecj23.org;;77878127800040;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0681706K;Ecole élémentaire privée Mathias Grunewald;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;4 rue Herzog Logelbach;68124;Wintzenheim;068;Haut-Rhin;Grand Est;0962327301;direction@pedagogie-steiner-colmar.fr;;87815493900010;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0682059U;Ecole primaire privée Mon école et moi;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;58 rue du Damberg;68350;Brunstatt-Didenheim;068;Haut-Rhin;Grand Est;0389060777;monecoleetmoibrunstatt@gmail.com;;81374397800021;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0682069E;Ecole maternelle privée ABCM Zweisprachigkeit;Ecole;ECOLE MATERNELLE;HORS CONTRAT;Hors contrat;31 rue du 1er septembre;68640;Muespach;068;Haut-Rhin;Grand Est;0642574463;siege@abcmzwei.org;;38336502000262;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0682074K;Ecole Montessori Mulhouse;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;7 rue de Paris;68260;Kingersheim;068;Haut-Rhin;Grand Est;0619958115;info@ecole-montessori-mulhouse.fr;;83810052700038;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0682101P;Ecole des Collines;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;3 rue Principale;68480;Biederthal;068;Haut-Rhin;Grand Est;0674629586;contact@ecoledescollines.fr;;89932644100016;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0750149E;E.P.PR SAINTE-CATHERINE 13 bis rue des Bernardins;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;13 bis rue des Bernardins;75005;Paris  5e  Arrondissement;075;Paris;Ile-de-France;0143255789;ce.0750149e@ac-paris.fr;;78425935000014;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750169B;E.P.PR ECOLE ALSACIENNE 109 rue notre Dame des Champs;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;109 rue Notre Dame des Champs;75006;Paris  6e  Arrondissement;075;Paris;Ile-de-France;0144320475;ce.0750169B@ac-paris.fr;;78428085100014;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750171D;E.E.PR L'ALMA 12 avenue Bosquet;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;12 avenue Bosquet;75007;Paris  7e  Arrondissement;075;Paris;Ile-de-France;0144186282;ce.0750171D@ac-paris.fr;;78430833000017;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750204P;E.M.PR LE PETIT COURS DU ROCHER 53 rue du Rocher;Ecole;ECOLE MATERNELLE;HORS CONTRAT;Hors contrat;53 rue du Rocher;75008;Paris  8e  Arrondissement;075;Paris;Ile-de-France;0145224059;direction@petitcoursdurocher.com;;33991769200024;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0750287E;E.P.PR SAINT-FRANCOIS D'EYLAU 20 avenue Bugeaud;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;20 avenue Bugeaud;75016;Paris 16e  Arrondissement;075;Paris;Ile-de-France;0145531048;ce.0750287E@ac-paris.fr;;78466221500010;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750321S;E.P.PR BLANCHE DE CASTILLE 8 ter rue Roger Bacon;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;8 ter rue Roger Bacon;75017;Paris 17e  Arrondissement;075;Paris;Ile-de-France;0145722366;ce.0750321S@ac-paris.fr;;78471358800019;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750323U;E.P.PR LE SACRE-COEUR 36 rue Dautancourt;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;36 rue Dautancourt;75017;Paris 17e  Arrondissement;075;Paris;Ile-de-France;0146271824;ce.0750323U@ac-paris.fr;;78471366100048;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0752203M;E.P.PR E.I.B. LAMARTINE 123 rue de la Pompe;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;123 rue de la Pompe;75016;Paris 16e  Arrondissement;075;Paris;Ile-de-France;0145538936;ce.0752203M@ac-paris.fr;;78466200900017;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0753122L;E.P.PR GANENOU 231 boulevard Voltaire;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;231 boulevard Voltaire;75011;Paris 11e  Arrondissement;075;Paris;Ile-de-France;0143561213;ce.0753122L@ac-paris.fr;;33830878600015;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0753452V;E.P.PR YAD MORDEKHAI 32 Bd Flandrin;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;32 boulevard Flandrin;75016;Paris 16e  Arrondissement;075;Paris;Ile-de-France;0153012610;yad.academique@gmail.com;;34081749300034;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0755053K;E.P.PR The Lennen Bilingual School 176 rue de Grenelle;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;11 avenue de Villars;75007;Paris  7e  Arrondissement;075;Paris;Ile-de-France;0153599073;aml@lennenbilingual.com;;34989811400039;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0755782C;E.P.PR LA CANOPEE 21 passage dubail;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;21 passage Dubail;75010;Paris 10e  Arrondissement;075;Paris;Ile-de-France;0672589978;contact@ecolelacanopee.fr;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0755830E;E.P.PR JEAN PAUL II 6 rue Albert de Lapparent;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;6 rue Albert de Lapparent;75007;Paris  7e  Arrondissement;075;Paris;Ile-de-France;0621504430;ecolesaintjeanpaul2@gmail.com;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0755845W;E.M.PR LA PETITE ECOLE DU BON PASTEUR 90 rue de l'Assomption;Ecole;ECOLE MATERNELLE;HORS CONTRAT;Hors contrat;90 rue de l'Assomption;75016;Paris 16e  Arrondissement;075;Paris;Ile-de-France;0662061358;assomption@lapetiteecoledubonpasteur.com;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0755888T;E.E.PR LAB SCHOOL PARIS 46 rue de Montreuil;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;46 rue de Montreuil;75011;Paris 11e  Arrondissement;075;Paris;Ile-de-France;0651845674;direction@labschool.fr;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0756007X;E.M.PR CONCORDIA BILINGUAL SCHOOL 41 avenue de la Grande Armée;Ecole;ECOLE MATERNELLE;HORS CONTRAT;Hors contrat;41 avenue de la Grande Armée;75016;Paris 16e  Arrondissement;075;Paris;Ile-de-France;0182092863;aurore@concordiaschoolparis.fr;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0756102A;E.E.PR LES PETITS CRAYONS;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;28 rue Saint Lambert;75015;Paris 15e  Arrondissement;075;Paris;Ile-de-France;0156080364;contact@lespetitscrayons.com;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0756117S;E.M.PR MONTESSORI ESCLAIBES 43 rue François Gérard;Ecole;ECOLE MATERNELLE;HORS CONTRAT;Hors contrat;43 rue François Gérard;75016;Paris 16e  Arrondissement;075;Paris;Ile-de-France;0680957658;paris@montessoriesclaibes.com;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0756122X;Ecole Elementaire Privée Walt;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;2 rue Dranem;75011;Paris 11e  Arrondissement;075;Paris;Ile-de-France;0186700751;anais.billat@ecolewalt.com;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0756256T;E.M.PR Douces Maternelles Bréguet;Ecole;ECOLE MATERNELLE;HORS CONTRAT;Hors contrat;41 rue Bréguet;75011;Paris 11e  Arrondissement;075;Paris;Ile-de-France;;sophie.bezombes@gmail.com;;81916276900064;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0756373V;E.M.PR ECOLE KOENIG 2 rue Auguste Bartholdi;Ecole;ECOLE MATERNELLE;HORS CONTRAT;Hors contrat;2 rue Auguste Bartholdi;75015;Paris 15e  Arrondissement;075;Paris;Ile-de-France;0145780175;admin@ecolekoenig.com;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0756399Y;E.M.PR DOUCE MATERNELLE SAUSSURE 122 bis rue de Saussure;Ecole;ECOLE MATERNELLE;HORS CONTRAT;Hors contrat;122 bis rue de Saussure;75017;Paris 17e  Arrondissement;075;Paris;Ile-de-France;0661949242;annelaure.roussel@doucesmaternelles.com;;81916276900106;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0756487U;E.M.PR Douces Maternelles BEAUREPAIRE 28 rue Beaurepaire;Ecole;ECOLE MATERNELLE;HORS CONTRAT;Hors contrat;28 rue Beaurepaire;75010;Paris 10e  Arrondissement;075;Paris;Ile-de-France;0661949242;annelaure.roussel@doucesmaternelles.com;;81916276900122;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0756503L;E.E.PR ECOLE LOUBAVITCH PARIS 20 17 rue de la Plaine;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;17 rue de la Plaine;75020;Paris 20e  Arrondissement;075;Paris;Ile-de-France;0662621782;ratlan2005@yahoo.fr;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0756518C;E.E.PR MONTESSORI PARIS 17 ELEMENTAIRE 31 Boulevard Berthier;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;31 boulevard Berthier;75017;Paris 17e  Arrondissement;075;Paris;Ile-de-France;0142129635;contact@montessoriparis17.com;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0756656C;E.M.PR Douce Maternelle Saint-Michel 80;Ecole;ECOLE MATERNELLE;HORS CONTRAT;Hors contrat;80 boulevard Saint-Michel;75006;Paris  6e  Arrondissement;075;Paris;Ile-de-France;0661949242;annelaure.roussel@doucesmaternelles.com;;81916276900155;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0756775G;E.M.PR Ecole M Paris 15 - 32 rue des Cévennes;Ecole;ECOLE MATERNELLE;HORS CONTRAT;Hors contrat;32 rue des Cévennes;75015;Paris 15e  Arrondissement;075;Paris;Ile-de-France;0974708519;josephine@ecolem.fr;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0756838A;E.E.PR CERENE 118 rue de Saussure;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;118 rue de Saussure;75017;Paris 17e  Arrondissement;075;Paris;Ile-de-France;0766466938;cerene@cerene-education.fr;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0881302M;Ecole primaire privée Sainte Jeanne d'Arc;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;27 rue des Fontaines;88700;Rambervillers;088;Vosges;Grand Est;0329650146;ce.0881302M@ac-nancy-metz.fr;;78346390400020;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0881764P;LE PETIT MONDE DE MONTESSORI;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;23  RUE BOULAY DE LA MEURTHE;88000;Epinal;088;Vosges;Grand Est;;contact@le-petit-monde-de-montessori.net;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0881776C;ECOLE MONTESSORI L'ART DE GRANDIR;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;1 allée des Chênes;88000;Epinal;088;Vosges;Grand Est;0614086449;ecolemontessorilartdegrandir@gmail.com;;87838030200033;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0910890Y;Ecole primaire privée Notre-Dame;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;2 place Rouffy;91210;Draveil;091;Essonne;Ile-de-France;0169037196;ce.0910890Y@ac-versailles.fr;;78518983800028;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0910898G;Ecole primaire privée Sainte Ernestine;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;17 grande rue Grande Rue;91510;Lardy;091;Essonne;Ile-de-France;0160823073;ce.0910898G@ac-versailles.fr;;78520527900025;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0910900J;Ecole primaire privée Saint Joseph;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;22 rue Moutard Martin;91460;Marcoussis;091;Essonne;Ile-de-France;0169010408;ce.0910900J@ac-versailles.fr;;78521078200013;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0910910V;Ecole primaire privée du Cours Secondaire;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;11 rue de Courtaboeuf;91400;Orsay;091;Essonne;Ile-de-France;0169284372;ce.0910910V@ac-versailles.fr;;78522823000021;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0910912X;Ecole primaire privée Saint Martin;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;36 avenue du 8 Mai 1945;91120;Palaiseau;091;Essonne;Ile-de-France;0169315100;ce.0910912X@ac-versailles.fr;;78523116800028;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0910918D;Ecole primaire privée Notre-Dame;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;2 rue du Gaizon;91620;La Ville-du-Bois;091;Essonne;Ile-de-France;0169012817;ce.0910918D@ac-versailles.fr;;78525891400015;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0911772G;Ecole primaire privée La Montessorine;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;23 rue du Verger;91800;Brunoy;091;Essonne;Ile-de-France;0160465520;direction@ecole-la-montessorine.fr;;41494371200011;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0912309R;Ecole primaire privée Citizen for society school;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;12 rue René Cassin;91300;Massy;091;Essonne;Ile-de-France;0981562618;administration@cfs-school.fr;;51949794500039;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0921062E;Ecole primaire privée Saint Gabriel;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;21 rue de la Lisette;92220;Bagneux;092;Hauts-de-Seine;Ile-de-France;0146578082;ce.0921062E@ac-versailles.fr;;77568879901118;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0921067K;Ecole élémentaire privée Sophie Barat;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;50 rue des Grillons;92290;Châtenay-Malabry;092;Hauts-de-Seine;Ile-de-France;0141134700;ce.0921067K@ac-versailles.fr;;78531374300037;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0921073S;Ecole primaire privée Saint Joseph;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;7 avenue Jean Jaurès;92140;Clamart;092;Hauts-de-Seine;Ile-de-France;0146420060;ce.0921073S@ac-versailles.fr;;77572331500039;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0921090K;Ecole primaire privée Sainte Geneviève;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;25 rue d'Estienne d'Orves;92250;La Garenne-Colombes;092;Hauts-de-Seine;Ile-de-France;0142425264;ce.0921090K@ac-versailles.fr;;78536398700013;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0921097T;Ecole primaire privée Sainte Marie de La Providence;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;56 rue Edouard Vaillant;92300;Levallois-Perret;092;Hauts-de-Seine;Ile-de-France;0147375776;ce.0921097T@ac-versailles.fr;;77572653200044;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0921100W;Ecole primaire privée Notre-Dame France;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;5 rue Arblade;92240;Malakoff;092;Hauts-de-Seine;Ile-de-France;0147352626;ce.0921100W@ac-versailles.fr;;78539318200023;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0921121U;Ecole primaire privée Sainte Geneviève;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;72 rue Volant;92000;Nanterre;092;Hauts-de-Seine;Ile-de-France;0147252092;ce.0921121U@ac-versailles.fr;;78541491300026;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0921129C;Ecole élémentaire privée Sainte Marie de Neuilly;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;29 boulevard Victor Hugo;92200;Neuilly-sur-Seine;092;Hauts-de-Seine;Ile-de-France;0147452930;ce.0921129C@ac-versailles.fr;;77572829800032;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0921135J;Ecole primaire privée Charles Péguy;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;53 rue du Général Carey de Bellemare;92500;Rueil-Malmaison;092;Hauts-de-Seine;Ile-de-France;0147514896;ce.0921135J@ac-versailles.fr;;78544309400012;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0921142S;Ecole primaire privée Sainte Jeanne d'Arc;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;7 rue de Rueil;92310;Sèvres;092;Hauts-de-Seine;Ile-de-France;0145342389;ce.0921142S@ac-versailles.fr;;78545246700026;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0922236F;Ecole primaire privée Yaguel Yaacov;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT ASSOCIATION PARTIE DES CLASSES;Sous contrat;90 rue Gabriel Péri;92120;Montrouge;092;Hauts-de-Seine;Ile-de-France;0146562526;ce.0922236F@ac-versailles.fr;;38488670100018;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0922486C;Ecole primaire  privée Aide Et Education;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;C0NTRAT SIMPLE POUR PARTIE DES CLASSES;Inconnu;63 rue Louis Rouquier;92300;Levallois-Perret;092;Hauts-de-Seine;Ile-de-France;0172615097;epjl@aideeteducation.org;;43989371000012;À vérifier;;;;
0922714A;Ecole primaire privée Saint Charles - Notre Dame;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;7 allée Jean Baptiste Lully;92500;Rueil-Malmaison;092;Hauts-de-Seine;Ile-de-France;0147513448;ce.0922714A@ac-versailles.fr;;78544308600034;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0922763D;Ecole élémentaire privée du Cours Antoine de St Exupéry;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;29 rue de Prony;92600;Asnières-sur-Seine;092;Hauts-de-Seine;Ile-de-France;0146887656;administration@coursdesaintexupery.com;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0922787E;Ecole maternelle privée Gan Menahem Levallois;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;82 rue Baudin;92300;Levallois-Perret;092;Hauts-de-Seine;Ile-de-France;0677061833;gml.levallois@gmail.com;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0922796P;Ecole maternelle privée Montessori Bilingue de Colombes;Ecole;ECOLE MATERNELLE;HORS CONTRAT;Hors contrat;19 rue  Jean Wiener;92700;Colombes;092;Hauts-de-Seine;Ile-de-France;0665655786;alexia.thiou@montessori-colombes.com;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0922797R;Ecole maternelle privée 21 de Nanterre;Ecole;ECOLE MATERNELLE;HORS CONTRAT;Hors contrat;8 rue JULES GAUTIER;92000;Nanterre;092;Hauts-de-Seine;Ile-de-France;0612036873;ecoledenanterre@montessori21.org;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0922799T;Ecole maternelle  privée Montessori 21 de Chatenay-Malabry;Ecole;ECOLE MATERNELLE;HORS CONTRAT;Hors contrat;42 chemin de la Justice;92290;Châtenay-Malabry;092;Hauts-de-Seine;Ile-de-France;0608487354;karine.burns@montessori21.org;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0922807B;Ecole maternelle privée Arco Iris;Ecole;ECOLE MATERNELLE;HORS CONTRAT;Hors contrat;31 cours l'Isle Seguin;92100;Boulogne-Billancourt;092;Hauts-de-Seine;Ile-de-France;0661150947;happyschool@ecolearcoiris.fr;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0922829A;Ecole primaire privée Saint François d'Assise;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;67 rue Paul Déroulède;92270;Bois-Colombes;092;Hauts-de-Seine;Ile-de-France;0981252147;saintfrancoisdassise92@gmail.com;;84147489300036;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0672302N;Collège privé Séminaire des jeunes;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;60 Grand'Rue;67360;Walbourg;067;Bas-Rhin;Grand Est;03 88 90 29 29;accueil@sem-walbourg.eu;http://www.sem-walbourg.eu;18670445800014;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0756124Z;Collège privé Beth Aaron;Collège;COLLEGE;CONTRAT ASSOCIATION PARTIE DES CLASSES;Sous contrat;48 bis quai de la Marne;75019;Paris;075;Paris;Ile-de-France;06 17 16 33 00;ecole.beth.aaron@gmail.com;https://www.ecole-beth-aaron.com/;;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0950761L;Lycée polyvalent privé Notre-Dame-de-la-Compassion;Lycée;LYCEE POLYVALENT;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;8 place Nicolas-Flamel;95000;Pontoise;095;Val-d'Oise;Ile-de-France;01 34 41 61 00;direction.ndcompassion@wanadoo.fr;http://www.ndcompassion.fr/;30409525000011;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0923051S;Lycée général privé Beth Hilel;Lycée;LYCEE D ENSEIGNEMENT GENERAL;CONTRAT ASSOCIATION PARTIE DES CLASSES;Sous contrat;18 rue Clément Bayard;92300;Levallois-Perret;092;Hauts-de-Seine;Ile-de-France;07 60 36 84 84;collegebethhilel@gmail.com;;49025488500026;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0512079H;Section d'Enseignement Professionnel du Lycée polyvalent privé Frédéric Ozanam;Lycée;SECTION D ENSEIGNEMENT PROFESSIONNEL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;1 rue DE LA FRATERNITE BP 2059;51000;Châlons-en-Champagne;051;Marne;Grand Est;0326693270;ce.0511147V@ac-reims.fr;;;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0512121D;Section d'enseignement général et professionnel adapté du Collège Notre Dame;Collège;SECTION ENSEIGNT GEN. ET PROF. ADAPTE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;64 BIS RUE GRANDE ETAPE;51038;Châlons-en-Champagne;051;Marne;Grand Est;0326642922;ce.0511129A@ac-reims.fr;;;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0521134A;Ecole professionnelle privée de production Métaltech;Lycée;LYCEE PROFESSIONNEL;HORS CONTRAT;Hors contrat;26 rue Lavoisier;52800;Nogent;052;Haute-Marne;Grand Est;0671996730;contact@metaltech-edp52.fr;;90846765700015;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0573830D;Collège privé hors-contrat Les petites brindilles;Collège;COLLEGE;HORS CONTRAT;Hors contrat;25 rue de la Marne;57250;Moyeuvre-Grande;057;Moselle;Grand Est;0768784723;lespetitesbrindilles@gmail.com;;89479722400017;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0753377N;IPECOM Prépa Sciences (Ecole secondaire privée);Lycée;LYCEE D ENSEIGNEMENT GENERAL;HORS CONTRAT;Hors contrat;8 rue Benjamin Godard;75016;Paris 16e  Arrondissement;075;Paris;Ile-de-France;0147270050;secretariat.ipecom@wanadoo.fr;;39942835800036;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0754191Y;Section d'enseignement professionnel privé Saint-Vincent-de-Paul;Lycée;SECTION D ENSEIGNEMENT PROFESSIONNEL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;49 rue Bobillot;75013;Paris 13e  Arrondissement;075;Paris;Ile-de-France;0145807790;ce.0754191y@ac-paris.fr;;78454446200038;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
